# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 11 18:07:50 2019
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
310,EPIC 202565282,EPIC 202565282.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h29m42.25s,247.426056,-29d12m06.2s,-29.201727,11.97581800,,,0,2456900.746000,,,0,,,,,,,,,0.29150,,,0,8.430,,,0,0.28,,,0,15.112,,0,11.899,0.026,0
311,EPIC 202565282,EPIC 202565282.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,16h29m42.25s,247.426056,-29d12m06.2s,-29.201727,11.97495000,0.00027000,-0.00027000,0,2456900.749710,0.000980,-0.000980,0,,,,,,,,,0.76000,0.18000,-0.18000,0,256.000,101.000,-101.000,0,3.40,3.70,-3.70,0,15.112,,0,11.899,0.026,0
312,EPIC 202634963,EPIC 202634963.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h11m35.50s,242.897903,-28d56m04.7s,-28.934635,28.70762300,,,0,2456920.110000,,,0,,,,,,,,,0.21360,,,0,21.200,,,0,1.03,,,0,12.100,,0,10.749,0.023,0
313,EPIC 202675839,EPIC 202675839.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,0,16h15m22.10s,243.842102,-28d46m48.6s,-28.780161,15.47150000,0.00360000,-0.00360000,0,2456898.834700,0.008700,-0.008700,0,,,,,,,,,0.04400,0.07500,-0.07500,0,9.200,5.600,-5.600,0,1.89,0.18,-0.18,0,12.362,,0,10.490,0.025,0
314,EPIC 202675839,EPIC 202675839.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h15m22.10s,243.842102,-28d46m48.6s,-28.780161,15.46569100,,,0,2456898.850000,,,0,,,,,,,,,0.04849,,,0,4.130,,,0,0.76,,,0,12.362,,0,10.490,0.025,0
315,EPIC 202675839,EPIC 202675839.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,16h15m22.10s,243.842102,-28d46m48.6s,-28.780161,15.46667400,0.00152500,-0.00155400,0,2456898.848500,0.003611,-0.003689,0,85.475,1.803,-1.756,0,13.540111,5.222749,-1.515878,0,0.12002,0.30228,-0.06198,0,16.121,40.680,-8.499,0,1.23,0.19,-0.13,0,12.362,,0,10.490,0.025,0
316,EPIC 202688980,EPIC 202688980.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h16m52.99s,244.220779,-28d43m49.2s,-28.730322,1.45566370,,,0,2456896.637017,,,0,,,,,,,,,,,,,,,,,,,,,11.772,,0,10.232,0.024,0
317,EPIC 202710713,EPIC 202710713.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h16m16.05s,244.066895,-28d38m56.9s,-28.649134,3.32623960,,,0,2456895.376000,,,0,,,,,,,,,0.03846,,,0,1.160,,,0,0.33,,,0,12.237,,0,8.366,0.023,0
318,EPIC 202710713,EPIC 202710713.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h16m16.05s,244.066895,-28d38m56.9s,-28.649134,3.32592848,,,0,2456898.702898,,,0,,,,,,,,,,,,,,,,,,,,,12.237,,0,8.366,0.023,0
319,EPIC 202821899,EPIC 202821899.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h36m38.40s,249.160019,-28d14m20.6s,-28.239061,4.47434650,,,0,2456895.689000,,,0,,,,,,,,,0.03229,,,0,3.060,,,0,0.81,,,0,12.577,,0,10.805,0.024,0
320,EPIC 202821899,EPIC 202821899.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,16h36m38.40s,249.160019,-28d14m20.6s,-28.239061,4.47451300,0.00030000,-0.00030700,0,2456895.688040,0.002879,-0.003146,0,87.804,1.604,-3.641,0,13.497927,2.395803,-5.080403,0,0.03372,0.00560,-0.00246,0,8.169,1.707,-1.261,0,2.22,0.28,-0.30,0,12.577,,0,10.805,0.024,0
321,EPIC 202843107,EPIC 202843107.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h22m11.47s,245.547791,-28d09m42.6s,-28.161823,2.19890410,,,0,2456896.495000,,,0,,,,,,,,,0.60320,,,0,46.600,,,0,0.75,,,0,11.829,,0,9.878,0.023,0
322,EPIC 202893157,EPIC 202893157.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h26m14.20s,246.559174,-27d58m59.1s,-27.983086,4.16572920,,,0,2456894.444000,,,0,,,,,,,,,0.05024,,,0,1.860,,,0,0.36,,,0,14.421,,0,10.369,0.027,0
323,EPIC 202900527,EPIC 202900527.01,K2-51 b,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,16h27m14.68s,246.811157,-27d57m25.4s,-27.957048,13.00838300,0.00021000,-0.00021400,0,2456905.757110,0.000574,-0.000533,0,89.033,0.594,-0.530,0,19.299148,0.888649,-1.180385,0,0.10101,0.00224,-0.00133,0,15.651,3.016,-2.284,0,1.42,0.27,-0.21,0,12.303,,0,10.030,0.019,0
327,EPIC 203070421,EPIC 203070421.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h41m48.75s,250.453125,-27d21m39.7s,-27.361034,1.73594470,,,0,2456895.707000,,,0,,,,,,,,,0.02551,,,0,1.890,,,0,0.84,,,0,12.544,,0,10.862,0.024,0
328,EPIC 203099398,EPIC 203099398.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h15m15.13s,243.813049,-27d15m42.0s,-27.261663,1.83893490,,,0,2456896.018000,,,0,,,,,,,,,0.01201,,,0,0.837,,,0,0.58,,,0,10.634,,0,7.637,0.017,0
329,EPIC 203294831,EPIC 203294831.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,15h59m31.01s,239.879211,-26d36m15.7s,-26.604366,1.85872487,,,0,2456897.387822,,,0,,,,,,,,,,,,,,,,,,,,,11.571,,0,10.586,0.019,0
330,EPIC 203294831,EPIC 203294831.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,0,15h59m31.01s,239.879211,-26d36m15.7s,-26.604366,1.85901700,0.00000980,-0.00000980,0,2456893.665740,0.000250,-0.000250,0,,,,,,,,,0.28300,0.04500,-0.04500,0,64.000,20.000,-20.000,0,2.03,0.56,-0.56,0,11.571,,0,10.586,0.019,0
331,EPIC 203294831,EPIC 203294831.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,15h59m31.01s,239.879211,-26d36m15.7s,-26.604366,1.85901790,,,0,2456895.525000,,,0,,,,,,,,,0.26540,,,0,30.500,,,0,1.33,,,0,11.571,,0,10.586,0.019,0
332,EPIC 203311200,EPIC 203311200.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,1,16h03m54.33s,240.976395,-26d33m13.5s,-26.553753,540.00000000,410.00000000,-230.00000000,0,2456954.021000,0.003000,-0.002000,0,,,,,,,,,0.05600,0.00300,-0.00200,0,5.700,0.600,-0.600,0,0.94,0.09,-0.09,0,11.896,,0,10.324,0.022,0
335,EPIC 203518244,EPIC 203518244.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h16m39.10s,244.162918,-25d52m12.2s,-25.870047,0.84112570,,,0,2456894.581000,,,0,,,,,,,,,0.01098,,,0,0.884,,,0,0.66,,,0,13.226,,0,10.645,0.019,0
336,EPIC 203533312,EPIC 203533312.01,,CANDIDATE,<a refstr=ADAMS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,1,16h15m49.29s,243.955383,-25d49m06.5s,-25.818472,0.17566000,0.00018300,-0.00018300,0,2456933.986490,0.000380,-0.000380,0,76.600,9.400,-11.200,0,1.700000,0.100000,-0.200000,0,0.02480,0.00100,-0.00100,0,3.110,0.240,-0.240,0,1.15,0.08,-0.08,0,12.160,,0,9.847,0.024,0
337,EPIC 203560204,EPIC 203560204.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h02m44.48s,240.685349,-25d43m32.3s,-25.725641,29.33873041,,,0,2456924.706267,,,0,,,,,,,,,,,,,,,,,,,,,14.629,,0,11.328,0.021,0
339,EPIC 203623230,EPIC 203623230.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h48m53.36s,252.222336,-25d30m28.6s,-25.507933,2.54427583,,,0,2456897.208968,,,0,,,,,,,,,,,,,,,,,,,,,8.694,,0,8.061,0.022,0
342,EPIC 203710387,EPIC 203710387.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h16m30.68s,244.127853,-25d12m20.2s,-25.205603,1.40442830,,,0,2456894.711000,,,0,,,,,,,,,0.32270,,,0,3.660,,,0,0.12,,,0,14.268,,0,11.907,0.023,0
344,EPIC 203753577,EPIC 203753577.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h51m26.84s,252.861847,-25d03m12.3s,-25.053404,3.40077580,,,0,2456895.094000,,,0,,,,,,,,,0.06863,,,0,5.570,,,0,0.89,,,0,11.106,,0,9.477,0.033,0
353,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27663950,,,0,2456901.895000,,,0,,,,,,,,,0.06088,,,0,0.724,,,0,0.11,,,0,13.468,,0,10.657,0.021,0
354,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,1,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27810000,,,0,2456893.602260,,,0,,,,,,,,,,,,,,,,,,,,,13.468,,0,10.657,0.021,0
367,EPIC 203867512,EPIC 203867512.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h52m59.36s,253.247314,-24d37m34.5s,-24.626259,28.46563300,,,0,2456918.548000,,,0,,,,,,,,,0.16420,,,0,18.400,,,0,0.96,,,0,11.858,,0,10.465,0.021,0
369,EPIC 203914123,EPIC 203914123.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,1,16h17m31.38s,244.380737,-24d26m13.3s,-24.437021,83830.00000000,31600.00000000,-22320.00000000,0,2456946.278000,0.002000,-0.002000,0,,,,,,,,,0.14900,0.00100,-0.00100,0,12.000,1.100,-1.100,0,0.74,0.07,-0.07,0,9.039,,0,6.321,0.017,0
370,EPIC 203929178,EPIC 203929178.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,16h49m41.45s,252.422714,-24d22m25.7s,-24.373808,1.15388600,0.00002800,-0.00002800,0,2456893.581200,0.001100,-0.001100,0,,,,,,,,,0.53000,0.23000,-0.23000,0,99.000,52.000,-52.000,0,1.80,0.52,-0.52,0,11.160,,0,10.519,0.020,0
371,EPIC 203942067,EPIC 203942067.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h15m17.87s,243.824478,-24d19m09.2s,-24.319227,1.63989340,,,0,2456895.547000,,,0,,,,,,,,,0.43920,,,0,33.000,,,0,0.79,,,0,12.080,,0,10.342,0.025,0
373,EPIC 204057095,EPIC 204057095.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h11m00.76s,242.753174,-23d50m25.3s,-23.840353,23.21058500,,,0,2456913.627000,,,0,,,,,,,,,0.06981,,,0,5.700,,,0,0.81,,,0,11.583,,0,9.847,0.024,0
381,EPIC 204276894,EPIC 204276894.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,1,16h34m39.22s,248.663422,-22d58m14.8s,-22.970772,1.95700000,,,0,2456893.373130,,,0,,,,,,,,,,,,,,,,,,,,,11.466,,0,5.743,0.022,0
382,EPIC 204312847,EPIC 204312847.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h41m39.29s,250.413696,-22d49m42.4s,-22.828453,24.19361300,,,0,2456906.330000,,,0,,,,,,,,,0.37780,,,0,30.700,,,0,0.87,,,0,11.370,,0,9.658,0.025,0
383,EPIC 204346718,EPIC 204346718.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h21m16.81s,245.320053,-22d41m36.7s,-22.693525,0.64292573,,,0,2456896.425445,,,0,,,,,,,,,,,,,,,,,,,,,14.626,,0,12.225,0.021,0
386,EPIC 204489514,EPIC 204489514.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,16h03m01.61s,240.756729,-22d07m52.4s,-22.131222,10.22360000,0.00240000,-0.00240000,0,2456893.641500,0.009300,-0.009300,0,,,,,,,,,0.61000,0.20000,-0.20000,0,132.000,58.000,-58.000,0,2.04,0.61,-0.61,0,14.080,,0,11.729,0.025,0
388,EPIC 204576757,EPIC 204576757.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h28m37.83s,247.157608,-21d46m03.0s,-21.767506,23.27766900,,,0,2456898.089000,,,0,,,,,,,,,0.45690,,,0,32.800,,,0,0.68,,,0,13.668,,0,11.193,0.023,0
389,EPIC 204634789,EPIC 204634789.01,,CANDIDATE,<a refstr=OSBORN_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,1,16h31m47.26s,247.946930,-21d31m24.6s,-21.523508,2.20000000,10.00000000,-1.40000000,0,2456921.016000,0.001000,-0.001000,0,,,,,,,,,0.08800,0.03800,-0.00800,0,8.400,3.600,-1.100,0,0.87,0.09,-0.09,0,12.292,,0,10.361,0.023,0
390,EPIC 204649811,EPIC 204649811.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,16h19m16.97s,244.820694,-21d27m36.1s,-21.460026,2.64541650,,,0,2456894.861000,,,0,,,,,,,,,0.13750,,,0,9.470,,,0,0.79,,,0,11.610,,0,10.298,0.023,0
391,EPIC 204649811,EPIC 204649811.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h19m16.97s,244.820694,-21d27m36.1s,-21.460026,2.64594828,,,0,2456897.498451,,,0,,,,,,,,,,,,,,,,,,,,,11.610,,0,10.298,0.023,0
392,EPIC 204658292,EPIC 204658292.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h14m49.65s,243.706879,-21d25m25.1s,-21.423630,20.98296043,,,0,2456911.584929,,,0,,,,,,,,,,,,,,,,,,,,,14.421,,0,12.073,0.024,0
393,EPIC 204676499,EPIC 204676499.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,16h23m15.34s,245.813904,-21d20m45.9s,-21.346094,1.52717920,,,0,2456897.468829,,,0,,,,,,,,,,,,,,,,,,,,,14.659,,0,12.421,0.023,0
394,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44687300,0.00194400,-0.00205900,0,2456898.835860,0.004026,-0.003738,0,89.004,0.735,-1.288,0,27.922818,3.780544,-8.187191,0,0.02691,0.00264,-0.00129,0,2.897,0.322,-0.180,0,0.99,0.05,-0.04,0,11.526,,0,9.623,0.023,0
395,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44650100,,,0,2456898.838000,,,0,,,,,,,,,0.02578,,,0,2.710,,,0,0.87,,,0,11.526,,0,9.623,0.023,0
396,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a refstr=RIZZUTO_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.43020000,,,0,2456875.443930,,,0,,,,,,,,,,,,,,,,,,,,,11.526,,0,9.623,0.023,0
398,EPIC 204763194,EPIC 204763194.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,1,15h59m46.05s,239.941864,-20d58m11.7s,-20.969925,2.32046168,,,0,2456898.023498,,,0,,,,,,,,,,,,,,,,,,,,,9.973,,0,8.474,0.023,0
401,EPIC 204884005,EPIC 204884005.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h37m19.55s,249.331451,-20d25m42.2s,-20.428377,46.40651000,,,0,2456924.032000,,,0,,,,,,,,,0.03779,,,0,3.350,,,0,0.73,,,0,11.514,,0,9.417,0.021,0
402,EPIC 204888276,EPIC 204888276.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,15h59m59.44s,239.997681,-20d24m32.5s,-20.409025,16.56315500,,,0,2456900.532000,,,0,,,,,,,,,0.02876,,,0,1.660,,,0,0.48,,,0,12.542,,0,9.251,0.027,0
406,EPIC 204914585,EPIC 204914585.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,16h08m13.91s,242.057953,-20d17m18.2s,-20.288393,18.35777300,,,0,2456895.192000,,,0,,,,,,,,,0.01924,,,0,1.740,,,0,0.75,,,0,12.492,,0,10.546,0.023,0
